Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Highest education level completed,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69b28e32193304c57cf744a5,6792c21092dba48f9c45aab7,RETURNED,Not Applicable,2026-03-12T10:01:08.147000Z,,,,,,1939,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b28ec379d63efd0981640e,6713a6a34b872f10e42e1502,RETURNED,Not Applicable,2026-03-12T10:00:59.260000Z,,,,,,2135,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b2918bb84ede15c7d212fb,5d389202459755001992a0f2,RETURNED,Not Applicable,2026-03-12T10:12:39.642000Z,2026-03-12T10:13:01.969000Z,,2026-03-12T10:13:02.711000Z,,C14M9CAH,2449,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b29443c2ffc752f02c448c,67dc072eacaa1f3a0c84be04,RETURNED,Not Applicable,2026-03-12T10:24:13.949000Z,,,,,,881,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b294d72c0c367a58c7643f,672bb2f4838ef2ebdebe51c2,RETURNED,Not Applicable,2026-03-12T10:26:48.637000Z,,,,,,1174,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b295a2686df7a66a9deaea,5f01ce19f3984631df5348e4,RETURNED,Not Applicable,2026-03-12T10:30:00.354000Z,,,,,,5075,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b29b51869d97546ca91fa1,673d2104b265ff9ce425c9c4,RETURNED,Not Applicable,2026-03-12T10:54:15.685000Z,,,,,,2088,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b2a06f2d65bbcbfa3e229d,69790c4c9bae6e6d3471dec3,RETURNED,Not Applicable,2026-03-12T11:17:09.615000Z,,,,,,533,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b2a1078c2d67f1608b54ef,699b7f9a312265478249af42,RETURNED,Not Applicable,2026-03-12T11:18:55.917000Z,2026-03-12T11:20:26.389000Z,,2026-03-12T11:20:26.889000Z,,C14M9CAH,460,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69b2a568a7ac780a05ad635a,61100c9dd41f288cd60f6415,RETURNED,Not Applicable,2026-03-12T11:38:06.124000Z,,,,,,1609,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
